id,painting_id,star_count,user_id,create_time
1,32,5,2,14/9/2025 09:52:43.962761
2,55,5,2,14/9/2025 09:25:38.366947
3,58,4,2,14/9/2025 09:55:32.985198
4,64,3,2,14/9/2025 09:46:21.712632
5,90,1,2,14/9/2025 09:58:51.757407
6,114,5,2,14/9/2025 09:29:03.0128
7,139,3,2,14/9/2025 09:44:42.235434
8,145,1,2,14/9/2025 09:42:00.007406
9,148,5,2,14/9/2025 09:49:23.719464
10,163,5,2,14/9/2025 09:32:48.067038
11,11,4,3,14/9/2025 10:49:03.776687
12,18,3,3,14/9/2025 10:34:28.288594
13,31,5,3,14/9/2025 10:51:55.07684
14,38,3,3,14/9/2025 10:13:43.814923
15,39,5,3,14/9/2025 10:48:40.663649
16,57,5,3,14/9/2025 10:33:56.884169
17,74,4,3,14/9/2025 10:21:47.08553
18,81,5,3,14/9/2025 11:02:09.742596
19,92,4,3,14/9/2025 10:53:48.765087
20,140,2,3,14/9/2025 11:05:23.020899
21,149,4,3,14/9/2025 10:57:52.925715
22,18,5,4,14/9/2025 13:07:35.284683
23,27,4,4,14/9/2025 11:28:56.317137
24,30,2,4,14/9/2025 11:33:39.017432
25,51,5,4,14/9/2025 12:58:35.756817
26,74,5,4,14/9/2025 12:44:27.173501
27,93,5,4,14/9/2025 13:37:44.090564
28,102,5,4,14/9/2025 11:28:32.345175
29,116,5,4,14/9/2025 13:24:12.676619
30,133,1,4,14/9/2025 13:13:31.707993
31,148,5,4,14/9/2025 13:16:21.190792
32,150,5,4,14/9/2025 11:33:26.889011
33,152,5,4,14/9/2025 13:42:28.208662
34,27,5,5,14/9/2025 15:09:54.03075
35,32,4,5,14/9/2025 14:24:46.133942
36,85,5,5,14/9/2025 15:12:26.472611
37,96,5,5,14/9/2025 15:00:20.33618
38,97,2,5,14/9/2025 14:57:03.498956
39,98,3,5,14/9/2025 15:07:33.371918
40,99,5,5,14/9/2025 15:22:13.966758
41,16,1,6,2025-09-21 02:56:26
42,35,1,6,2025-09-21 02:57:26
43,52,4,6,2025-09-21 02:58:26
44,64,2,6,2025-09-21 02:59:26
45,84,1,6,2025-09-21 03:00:26
46,98,1,6,2025-09-21 03:01:26
47,121,1,6,2025-09-21 03:02:26
48,144,2,6,2025-09-21 03:03:26
49,145,3,6,2025-09-21 03:04:26
50,155,5,6,2025-09-21 03:05:26
51,7,4,7,2025-09-21 03:06:26
52,18,1,7,2025-09-21 03:07:26
53,19,4,7,2025-09-21 03:08:26
54,21,1,7,2025-09-21 03:09:26
55,30,3,7,2025-09-21 03:10:26
56,51,1,7,2025-09-21 03:11:26
57,57,1,7,2025-09-21 03:12:26
58,60,1,7,2025-09-21 03:13:26
59,89,2,7,2025-09-21 03:14:26
60,164,5,7,2025-09-21 03:15:26
61,19,3,8,2025-09-21 03:16:26
62,47,1,8,2025-09-21 03:17:26
63,92,1,8,2025-09-21 03:18:26
64,109,1,8,2025-09-21 03:19:26
65,122,1,8,2025-09-21 03:20:26
66,127,1,8,2025-09-21 03:21:26
67,135,5,8,2025-09-21 03:22:26
68,144,3,8,2025-09-21 03:23:26
69,148,5,8,2025-09-21 03:24:26
70,160,1,8,2025-09-21 03:25:26
