user_id,painting_id,attitude
2,32,like
2,55,like
2,58,like
2,64,normal
2,90,hate
3,114,like
3,139,normal
3,145,hate
3,148,like
4,163,like
4,11,like
4,18,normal
4,31,like
5,38,normal
5,39,like
5,57,like
5,74,like
6,81,like
6,92,like
6,140,hate
6,149,like
7,18,like
7,27,like
7,30,hate
7,51,like
8,74,like
8,93,like
8,102,like
8,116,like
9,133,hate
9,148,like
9,150,like
9,152,like
10,27,like
10,32,like
10,85,like
10,96,like
11,97,hate
11,98,normal
11,99,like
11,16,hate
12,35,hate
12,52,like
12,64,hate
12,84,hate
13,98,hate
13,121,hate
13,144,hate
13,145,normal
14,155,like
14,7,like
14,18,hate
14,19,like
15,21,hate
15,30,normal
15,51,hate
15,57,hate
16,60,hate
16,89,hate
16,164,like
16,19,normal
17,47,hate
17,92,hate
17,109,hate
17,122,hate
18,127,hate
18,135,like
18,144,normal
18,148,like
19,160,hate
19,11,hate
19,13,normal
19,23,hate
20,34,hate
20,57,normal
20,67,hate
20,125,like
21,138,normal
21,150,normal
21,151,hate
21,28,hate
22,35,hate
22,39,like
22,43,like
22,90,like
23,110,normal
23,117,like
23,142,hate
23,162,hate
24,163,hate
24,8,hate
24,9,hate
24,11,hate
25,35,hate
25,42,hate
25,49,hate
25,111,normal
26,120,hate
26,126,normal
26,136,hate
26,153,hate
27,6,hate
27,51,like
27,65,like
27,79,hate
28,99,hate
28,122,normal
28,128,normal
28,131,like
29,138,like
29,143,hate
29,150,like
29,159,like
30,6,normal
30,42,hate
30,58,hate
30,62,hate
31,100,hate
31,108,like
31,123,like
31,127,normal
32,130,hate
32,144,like
32,57,hate
32,68,like
33,99,hate
33,106,like
33,108,like
33,123,hate
34,131,like
34,153,hate
34,162,hate
34,5,normal
35,8,hate
35,24,normal
35,51,like
35,64,like
36,65,hate
36,66,like
36,67,hate
36,77,like
37,81,like
37,94,like
37,123,like
37,9,hate
38,17,hate
38,46,hate
38,60,hate
38,75,like
39,108,normal
39,109,like
39,141,hate
39,143,like
40,146,like
40,149,like
40,10,like
40,21,like
41,33,normal
41,62,hate
41,66,hate
41,75,like
42,100,hate
42,129,hate
42,144,normal
42,150,like
43,164,hate
43,6,hate
43,43,hate
43,54,hate
44,55,normal
44,64,hate
44,67,like
44,69,like
45,83,like
45,109,hate
45,10,normal
45,11,normal
46,26,hate
46,31,normal
46,42,like
46,68,like
47,94,like
47,137,normal
47,147,like
47,151,hate
48,159,normal
48,161,like
48,45,hate
48,63,hate
49,67,hate
49,73,normal
49,96,hate
49,97,hate
50,109,hate
50,134,like
50,155,normal
50,157,hate
51,2,like
51,16,like
51,56,hate
51,57,normal
52,61,like
52,80,normal
52,114,normal
52,116,normal
53,129,hate
53,8,like
